"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.2937393754764e-123,3.4778379476142,0.189,0.016,2.06461774926006e-118,"0","LINC02147"
6.64380571357723e-259,3.44533244839949,0.345,0.021,5.980155960848e-254,"0","LPL"
2.48922700236826e-121,3.33100560776673,0.186,0.016,2.2405781171017e-116,"0","HSD11B2"
2.44426173877689e-130,3.30401011268309,0.206,0.019,2.20010443369046e-125,"0","CA4"
8.58330684188114e-309,3.23449571063866,0.533,0.075,7.72592032144563e-304,"0","FJX1"
1.99333007256047e-74,3.14574903029319,0.101,0.006,1.79421633161241e-69,"0","ARFGEF1-DT"
1.21044064080888e-69,3.11816346171083,0.101,0.007,1.08952972519848e-64,"0","CAMK1G"
1.18486756611462e-144,3.07710298350094,0.224,0.019,1.06651114493543e-139,"0","TMEM273"
4.63236580808647e-95,3.07396261223239,0.161,0.017,4.16963878751671e-90,"0","LINC01482"
3.47774847112248e-192,3.0517767821785,0.303,0.028,3.13035617634205e-187,"0","CPA6"
8.37949492863842e-179,3.04220554796816,0.292,0.03,7.54246718021673e-174,"0","IQSEC3-AS1"
4.794348375815e-67,2.97421651371958,0.123,0.014,4.31544091655484e-62,"0","SYT17"
2.92231456831838e-95,2.96015429258757,0.156,0.015,2.63040456608906e-90,"0","RPL29P11"
2.28716919648332e-69,2.87833983039434,0.138,0.019,2.0587038654466e-64,"0","LINC01755"
9.45642488117608e-92,2.86892174872644,0.168,0.02,8.5118225997954e-87,"0","ADGRE2"
6.535753447222e-80,2.81888958017492,0.122,0.01,5.882897035379e-75,"0","LAIR1"
5.17699113663167e-181,2.78625679298452,0.301,0.031,4.65986149199353e-176,"0","TMEM74B"
8.03327815412055e-174,2.77911733061089,0.316,0.04,7.23083399930545e-169,"0","TDO2"
5.07571042051117e-65,2.76851459311967,0.111,0.011,4.56869770660631e-60,"0","ENSG00000309991"
4.38078542553308e-70,2.73070790309167,0.117,0.012,3.94318876937658e-65,"0","ELOVL2"
5.27966305849109e-254,2.68916612486613,0.515,0.086,4.75227751557842e-249,"0","LAMC3"
3.69016158289456e-54,2.65840340091602,0.101,0.012,3.32155134237922e-49,"0","BATF2"
1.09109476714152e-160,2.65007968027123,0.316,0.046,9.82105310851756e-156,"0","KCNK6"
7.31358841012113e-129,2.64259117899529,0.235,0.028,6.58303406383413e-124,"0","RASD2"
1.11428874085038e-181,2.62368229532266,0.326,0.041,1.00298243852684e-176,"0","HTRA3"
4.34777271193554e-187,2.62271385187893,0.409,0.072,3.9134736957403e-182,"0","LINC01091"
2.00999618652272e-176,2.61450392777009,0.349,0.051,1.80921766745097e-171,"0","GRM8"
1.76063724353249e-117,2.61406083028893,0.246,0.038,1.58476718927603e-112,"0","PIEZO2"
3.04993601288531e-64,2.58773170438136,0.107,0.01,2.7452779045582e-59,"0","DCLK3"
0,2.58434271822688,0.78,0.138,0,"0","GUCY1A2"
1.910772099185e-122,2.57649604844105,0.209,0.022,1.71990507419741e-117,"0","LINC01060"
2.27983036917426e-297,2.56838355682184,0.65,0.137,2.05209811359744e-292,"0","EGFLAM"
1.64204531404892e-76,2.55016026135523,0.124,0.011,1.47802140762857e-71,"0","RDM1P5.1"
8.22014298352657e-87,2.53349807369064,0.16,0.019,7.3990329009021e-82,"0","SLC1A2-AS2"
2.22735103326176e-78,2.52748020598725,0.133,0.014,2.00486093854924e-73,"0","DYNLRB2-AS1"
1.0910295736212e-141,2.525824370203,0.285,0.041,9.82046629512178e-137,"0","CHST2"
0,2.52142751888163,0.93,0.288,0,"0","THY1"
0,2.51545407137571,0.934,0.287,0,"0","CCDC102B"
3.18661668325624e-62,2.51003842035905,0.125,0.017,2.86830554276577e-57,"0","PXDNL"
5.71471581851516e-92,2.49314993565081,0.207,0.034,5.14387285540368e-87,"0","ENSG00000288539"
1.59813687169034e-192,2.49051279548508,0.401,0.065,1.43849897957719e-187,"0","ITGA4"
7.95075782593787e-229,2.48927174691967,0.467,0.077,7.15655662670493e-224,"0","TSPAN5"
2.06182582570576e-159,2.46527713709762,0.353,0.061,1.85587004397601e-154,"0","LIMD2"
0,2.45709457891227,0.759,0.144,0,"0","PLXDC1"
6.51940625023312e-88,2.45570461399626,0.147,0.015,5.86818275989733e-83,"0","NHSL1-AS1"
8.03550239028166e-255,2.44918418037632,0.607,0.14,7.23283605651642e-250,"0","TNFRSF21"
1.86766760869869e-71,2.44623100651453,0.148,0.022,1.68110629126578e-66,"0","ENSG00000270190"
2.13096425142934e-76,2.43174082335864,0.143,0.018,1.91810223235406e-71,"0","LYPD1"
3.68231505868238e-68,2.40906049715449,0.149,0.023,3.31448860747059e-63,"0","KCNK17"
1.23440431536265e-130,2.39419581681899,0.261,0.037,1.11109966830107e-125,"0","ACP5"
1.64997859181731e-89,3.09858404915397,0.176,0.021,1.48516223028068e-84,"1","MDGA2"
1.31572088368933e-46,2.73017513413527,0.133,0.025,1.1842935246176e-41,"1","ENSG00000260177"
5.89720441589931e-65,2.54546966272599,0.252,0.067,5.30813266679512e-60,"1","FALEC"
1.02549943413405e-57,2.47946047367251,0.213,0.054,9.23062295658399e-53,"1","ENSG00000307101"
5.78668056852265e-36,2.44392364771856,0.1,0.019,5.20864904653293e-31,"1","OSTN"
2.89754197711827e-104,2.41555270283975,0.36,0.089,2.60810650902393e-99,"1","LINGO3"
2.39487392980536e-82,2.37338818278733,0.249,0.052,2.15564997295711e-77,"1","BAALC"
1.69137056099513e-28,2.36100029132438,0.11,0.028,1.52241955565733e-23,"1","CACNA2D2"
1.51848891953403e-24,2.32602735634811,0.194,0.081,1.36680706136178e-19,"1","ENSG00000297373"
4.22889442488035e-41,2.30259654514029,0.115,0.021,3.80647016077905e-36,"1","BEX1"
9.20032068011054e-31,2.25146604521683,0.134,0.038,8.2813006473743e-26,"1","ENSG00000298809"
2.30008755547309e-18,2.24253200093857,0.123,0.047,2.07033180955689e-13,"1","ENSG00000259135"
9.21751841552856e-28,2.22430850830221,0.145,0.047,8.29678050100142e-23,"1","RDUR"
9.84018102714877e-58,2.21496833393524,0.226,0.06,8.85724534434688e-53,"1","ENSG00000301037"
1.18236853568044e-71,2.19093566877854,0.3,0.086,1.06426174265133e-66,"1","TULP2"
8.00945496497945e-41,2.1647997032042,0.171,0.047,7.20939050852766e-36,"1","ENSG00000286186"
1.80943683461105e-43,2.09597517567395,0.187,0.053,1.62869218920175e-38,"1","ANO3"
1.3304668626921e-79,2.09481364043464,0.341,0.101,1.19756652777779e-74,"1","ARC"
3.05980228089651e-35,2.09019988442494,0.194,0.066,2.75415863105776e-30,"1","ENSG00000289259"
6.2702831636316e-25,2.08901865959254,0.118,0.035,5.64394457841644e-20,"1","PRX"
4.64858335413668e-33,2.07976131276535,0.19,0.066,4.18423636289197e-28,"1","ENSG00000287292"
2.45760401336935e-40,2.04770314230254,0.293,0.123,2.21211394847389e-35,"1","ZSWIM4"
1.02197111317898e-50,2.04084572427673,0.21,0.057,9.19886418683529e-46,"1","ENSG00000256448"
2.11884041639307e-31,2.03696679596601,0.119,0.03,1.90718944719956e-26,"1","ENSG00000287319"
2.74925331651763e-28,2.01108877421758,0.124,0.035,2.47463040273068e-23,"1","ENSG00000304893"
2.09235992443469e-92,2.01085957921861,0.308,0.07,1.88335409158291e-87,"1","GRID2"
1.78957845830271e-23,1.99751135416402,0.112,0.034,1.61081746610285e-18,"1","PPP1R35-AS1"
6.74150975673004e-159,1.99691163959565,0.711,0.274,6.06810034713028e-154,"1","SEMA4A"
2.08759695159209e-63,1.98404181613309,0.222,0.052,1.87906689209756e-58,"1","SNX10"
1.67169599379822e-70,1.95212433539169,0.326,0.101,1.50471028097772e-65,"1","CHST8"
2.84431296518627e-102,1.94859209747216,0.474,0.155,2.56019454309381e-97,"1","HS3ST2"
1.66295657916499e-66,1.94779235030116,0.301,0.09,1.4968438464722e-61,"1","SERPINE3"
3.33449156141398e-35,1.94111296662798,0.197,0.068,3.00140919934434e-30,"1","ENSG00000273734"
2.60350759026086e-24,1.91541326816683,0.143,0.05,2.34344321706971e-19,"1","ENSG00000288000"
4.10467294585047e-26,1.87694907417631,0.149,0.051,3.69465716528947e-21,"1","DOCK3"
2.29630557106159e-16,1.8712855883377,0.133,0.056,2.06692760756825e-11,"1","ENSG00000289340"
1.02525859326405e-44,1.87023237897327,0.246,0.084,9.228455123829e-40,"1","ENSG00000254409"
1.18485661049731e-29,1.86339117482335,0.154,0.05,1.06650128367473e-24,"1","NUP210L"
4.49570154843771e-21,1.86185066655545,0.151,0.06,4.04662592076426e-16,"1","RPS5P2"
6.65968916494439e-48,1.84656111064551,0.273,0.097,5.9944528142581e-43,"1","SLC25A44"
1.91598746480637e-51,1.84517078479229,0.199,0.05,1.72459947694686e-46,"1","AATK"
1.2202865661541e-55,1.83033151533661,0.221,0.057,1.09839214106097e-50,"1","CACNA2D3"
2.46831577637641e-37,1.82967035808469,0.2,0.066,2.22175571347417e-32,"1","FAM222A-AS1"
4.43875092313021e-42,1.81440033876575,0.259,0.096,3.99536409341873e-37,"1","RAB26"
5.75565522693068e-64,1.7961956246103,0.321,0.105,5.18072282631257e-59,"1","ENSG00000304130"
3.11889558458191e-27,1.79587582669561,0.153,0.052,2.80734910463802e-22,"1","FAM222A"
9.82348119609819e-59,1.79231782478061,0.373,0.148,8.84221365941994e-54,"1","FAUP4.1"
1.76445933247559e-33,1.79181135460343,0.237,0.096,1.5882074897546e-28,"1","ENSG00000286861"
2.71567900152527e-20,1.78415805608034,0.103,0.032,2.44440982606291e-15,"1","ENSG00000285693"
1.49186633770998e-144,1.76457574288246,0.763,0.346,1.34284380923613e-139,"1","LINC01619"
0,8.6097199020287,0.689,0.035,0,"2","CXCL14"
0,8.02382274834882,0.332,0.003,0,"2","WNT2"
0,7.63326575072068,0.692,0.01,0,"2","PDGFRA"
1.78596993844491e-168,7.62010193724652,0.17,0.002,1.60756940129365e-163,"2","WNT4"
0,7.59898530796726,0.794,0.011,0,"2","PDPN"
2.81136250696539e-112,7.41696511941406,0.109,0.001,2.53053550614462e-107,"2","COL6A5"
0,7.35297818921088,0.635,0.008,0,"2","TRPA1"
6.385773475737e-117,7.2198246088966,0.114,0.001,5.74789856324563e-112,"2","ENSG00000269289"
1.36386913331281e-149,7.08280710972614,0.16,0.003,1.2276322455862e-144,"2","RBP4"
7.07226404613732e-103,7.0724067506042,0.101,0.001,6.36581559056866e-98,"2","ENSG00000291250"
9.60097323069176e-117,6.98661286758863,0.115,0.001,8.64193201467796e-112,"2","HTR2B"
3.05349740499153e-246,6.80354120269689,0.242,0.002,2.74848354920693e-241,"2","HHIP-AS1"
3.61425605162579e-148,6.77182235453091,0.222,0.015,3.25322801462889e-143,"2","CCL11"
6.51666458516674e-108,6.62668786740827,0.137,0.006,5.86571495975443e-103,"2","CXCL6"
5.13634306335191e-282,6.60967584349482,0.288,0.004,4.62327375475369e-277,"2","SGCZ"
0,6.601341704906,0.387,0.008,0,"2","HHIP"
2.61614196136654e-113,6.49926233969234,0.134,0.004,2.35481554084564e-108,"2","DPT"
5.98275313338424e-123,6.44570758103036,0.121,0.001,5.38513592289049e-118,"2","SCUBE1"
9.79548919095698e-274,6.43509415759799,0.265,0.002,8.81701777567228e-269,"2","BDKRB2"
0,6.39171555213597,0.501,0.009,0,"2","PDGFD"
0,6.39006025002886,0.606,0.019,0,"2","HSD17B2"
5.19668131001373e-238,6.37025782852076,0.247,0.004,4.67758481395646e-233,"2","EPIST"
