"resolution","cluster","n_cells","n_orig.ident","n_dataset","n_patient","largest_orig.ident_fraction","largest_dataset_fraction"
0.4,"3",389,35,5,NA,0.210796915167095,0.6426735218509
0.4,"7",178,26,5,NA,0.196629213483146,0.758426966292135
0.4,"0",2152,24,5,NA,0.279275092936803,0.936802973977695
0.4,"8",102,13,4,NA,0.245098039215686,0.529411764705882
0.4,"1",1199,38,5,NA,0.187656380316931,0.673060884070058
0.4,"5",250,25,5,NA,0.284,0.884
0.4,"6",180,24,5,NA,0.427777777777778,0.811111111111111
0.4,"9",53,15,4,NA,0.30188679245283,0.679245283018868
0.4,"2",695,40,5,NA,0.171223021582734,0.505035971223022
0.4,"4",380,17,2,NA,0.210526315789474,0.973684210526316
1.2,"5",389,35,5,NA,0.210796915167095,0.640102827763496
1.2,"7",297,29,5,NA,0.205387205387205,0.794612794612795
1.2,"4",567,19,5,NA,0.204585537918871,0.90299823633157
1.2,"11",102,13,4,NA,0.245098039215686,0.529411764705882
1.2,"1",806,13,4,NA,0.285359801488834,0.96029776674938
1.2,"3",660,17,4,NA,0.368181818181818,0.954545454545455
1.2,"0",1134,38,5,NA,0.196649029982363,0.666666666666667
1.2,"9",176,25,4,NA,0.227272727272727,0.806818181818182
1.2,"8",186,24,5,NA,0.419354838709677,0.811827956989247
1.2,"12",53,15,4,NA,0.30188679245283,0.679245283018868
1.2,"10",132,11,3,NA,0.310606060606061,0.946969696969697
1.2,"2",695,40,5,NA,0.171223021582734,0.505035971223022
1.2,"6",381,17,2,NA,0.20997375328084,0.973753280839895
