"resolution","cluster","n_cells","fraction"
0.4,"0",2152,0.385801362495518
0.4,"1",1199,0.214951595553962
0.4,"2",695,0.12459662961635
0.4,"3",389,0.0697382574399426
0.4,"4",380,0.0681247759053424
0.4,"5",250,0.0448189315166726
0.4,"6",180,0.0322696306920043
0.4,"7",178,0.0319110792398709
0.4,"8",102,0.0182861240588024
0.4,"9",53,0.0095016134815346
1.2,"0",1134,0.203298673359627
1.2,"1",806,0.144496235209753
1.2,"2",695,0.12459662961635
1.2,"3",660,0.118321979204016
1.2,"4",567,0.101649336679814
1.2,"5",389,0.0697382574399426
1.2,"6",381,0.0683040516314091
1.2,"7",297,0.0532448906418071
1.2,"8",186,0.0333452850484044
1.2,"9",176,0.0315525277877375
1.2,"10",132,0.0236643958408032
1.2,"11",102,0.0182861240588024
1.2,"12",53,0.0095016134815346
