"program","gene","present"
"Pan_T","CD3D",TRUE
"Pan_T","CD3E",TRUE
"Pan_T","TRAC",TRUE
"Pan_T","TRBC1",TRUE
"Pan_T","TRBC2",TRUE
"CD4_CD8","CD4",TRUE
"CD4_CD8","CD8A",TRUE
"CD4_CD8","CD8B",TRUE
"Naive_memory","CCR7",TRUE
"Naive_memory","SELL",TRUE
"Naive_memory","TCF7",TRUE
"Naive_memory","LEF1",TRUE
"Naive_memory","IL7R",TRUE
"Treg","FOXP3",TRUE
"Treg","IL2RA",TRUE
"Treg","CTLA4",TRUE
"Treg","TIGIT",TRUE
"Treg","CCR8",TRUE
"GZMK","GZMK",TRUE
"GZMK","CCL5",TRUE
"Cytotoxic","NKG7",TRUE
"Cytotoxic","GNLY",TRUE
"Cytotoxic","PRF1",TRUE
"Cytotoxic","GZMB",TRUE
"Cytotoxic","FGFBP2",TRUE
"NK","FCGR3A",TRUE
"NK","KLRD1",TRUE
"NK","KLRF1",TRUE
"NK","KLRC1",TRUE
"NK","KLRC2",TRUE
"Dysfunction","PDCD1",TRUE
"Dysfunction","LAG3",TRUE
"Dysfunction","HAVCR2",TRUE
"Dysfunction","TOX",TRUE
"Dysfunction","ENTPD1",TRUE
"Dysfunction","CXCL13",TRUE
"TRM","ITGAE",TRUE
"TRM","CD69",TRUE
"TRM","CXCR6",TRUE
"TRM","ZNF683",TRUE
"Gammadelta","TRDC",TRUE
"Gammadelta","TRGC1",TRUE
"Gammadelta","TRGV1",TRUE
"Gammadelta","TRGV2",TRUE
"Gammadelta","TRGV3",TRUE
"Gammadelta","TRGV4",TRUE
"Gammadelta","TRGV5",TRUE
"Gammadelta","TRGV6",TRUE
"Gammadelta","TRGV7",TRUE
"Gammadelta","TRGV8",TRUE
"Gammadelta","TRGV9",TRUE
"Gammadelta","TRGV10",TRUE
"Gammadelta","TRGV11",TRUE
"IL17","IL17A",TRUE
"IL17","IL17F",TRUE
"IL17","IL23R",TRUE
"IL17","KLRB1",TRUE
"Epithelial_audit","EPCAM",TRUE
"Epithelial_audit","KRT5",TRUE
"Epithelial_audit","KRT6A",TRUE
"Epithelial_audit","KRT7",TRUE
"Epithelial_audit","KRT8",TRUE
"Epithelial_audit","KRT13",TRUE
"Epithelial_audit","KRT17",TRUE
"Epithelial_audit","KRT18",TRUE
"Epithelial_audit","KRT19",TRUE
"Epithelial_audit","CLDN4",TRUE
"Epithelial_audit","S100P",TRUE
"Epithelial_audit","PSCA",TRUE
"Epithelial_audit","SPINK1",TRUE
"B_plasma_audit","CD79A",TRUE
"B_plasma_audit","MS4A1",TRUE
"B_plasma_audit","CD37",TRUE
"B_plasma_audit","CD74",TRUE
"B_plasma_audit","MZB1",TRUE
"B_plasma_audit","JCHAIN",TRUE
"B_plasma_audit","IGHG1",TRUE
"B_plasma_audit","IGKC",TRUE
