"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.42722002891197,0.437,0.028,0,"0","PELO-AS1"
0,3.82382121386127,0.279,0.026,0,"0","LINC02937"
0,3.39816300640542,0.262,0.027,0,"0","CCL3-AS1"
0,3.38987571449131,0.1,0.009,0,"0","ATP8A1-DT"
0,3.22611410547619,0.1,0.013,0,"0","ITGA9"
0,2.5967868958111,0.121,0.019,0,"0","TTC24"
0,2.52258271100805,0.172,0.03,0,"0","KLRK1-AS1"
0,2.44273973683707,0.166,0.033,0,"0","JUN-DT"
0,2.43559381200171,0.242,0.046,0,"0","KIR2DL4"
0,2.40908520753946,0.212,0.046,0,"0","NHS"
0,2.38925185500946,0.182,0.036,0,"0","AFAP1L2"
0,2.3484120225971,0.207,0.047,0,"0","LRRN3"
0,2.33407865424421,0.271,0.064,0,"0","CARS1"
0,2.29932145279415,0.145,0.033,0,"0","DPF3"
0,2.26902009044327,0.524,0.131,0,"0","ATP8B4"
0,2.24163020826371,0.179,0.054,0,"0","ADAMTS6"
0,2.23088182896416,0.131,0.035,0,"0","PIP5K1B"
0,2.20053300777921,0.18,0.039,0,"0","ETV1"
0,2.15713606364068,0.315,0.079,0,"0","KLRC4"
0,2.15282788374611,0.313,0.077,0,"0","CHN2"
0,2.12362647169515,0.1,0.022,0,"0","TARP"
0,2.04570560224329,0.312,0.084,0,"0","GOLIM4"
0,2.03726036332314,0.395,0.126,0,"0","MYO1E"
0,2.03128525590546,0.82,0.362,0,"0","LINC01871"
0,2.00144760924969,0.163,0.038,0,"0","RYR2"
0,1.99042114048073,0.344,0.102,0,"0","LINC02195"
0,1.94170617177229,0.433,0.176,0,"0","PLPP1"
0,1.90603439265335,0.167,0.052,0,"0","CD109"
0,1.86226347550637,0.104,0.028,0,"0","HLA-DRB6.1"
0,1.83297481915598,0.561,0.195,0,"0","ITGA1"
0,1.81250224598255,0.228,0.066,0,"0","ZNF683"
0,1.81042580314252,0.169,0.047,0,"0","CCL3L3"
0,1.80255866596768,0.18,0.056,0,"0","LINC02416"
0,1.78682708079348,0.212,0.065,0,"0","ADGRG5"
0,1.78285782870301,0.103,0.032,0,"0","ELAPOR1"
0,1.76944906757057,0.194,0.062,0,"0","NBL1"
0,1.75878989180209,0.153,0.052,0,"0","LINC01480"
0,1.75269618247925,0.529,0.192,0,"0","HOPX"
0,1.74458627561232,0.111,0.035,0,"0","KRT86"
