"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.31660842969685,0.316,0.048,0,"0","LINC00987"
0,2.4516963450947,0.163,0.04,0,"0","ENSG00000301019"
0,2.39046739325618,0.12,0.03,0,"0","ENSG00000295359"
0,2.37600379509428,0.226,0.06,0,"0","ENSG00000274767"
0,2.19090612362898,0.121,0.033,0,"0","ENSG00000288915"
0,2.11047156842471,0.697,0.206,0,"0","GZMK"
0,2.01415161502226,0.166,0.052,0,"0","GPR84-AS1"
0,1.98252505633796,0.189,0.053,0,"0","CCL3L3"
0,1.93124466248019,0.435,0.151,0,"0","ENSG00000232855"
0,1.80557535110509,0.141,0.043,0,"0","PZP"
9.08644810005723e-272,1.78449928672693,0.115,0.041,8.17880279934251e-267,"0","AGAP1"
7.85955176387127e-218,1.76714782118603,0.117,0.047,7.07446113817817e-213,"0","ENSG00000296331"
0,1.71890840590787,0.225,0.089,0,"0","ENSG00000307107"
9.00622548412319e-290,1.71545311065336,0.136,0.052,8.10659362051412e-285,"0","C2CD5-AS1"
0,1.69720159317928,0.243,0.108,0,"0","ENSG00000296297"
4.32611733620428e-286,1.68141826402479,0.159,0.067,3.89398147549084e-281,"0","ENSG00000300496"
0,1.58620768634982,0.293,0.134,0,"0","ENSG00000283674"
2.0206941619292e-263,1.5033384233388,0.187,0.088,1.81884702209409e-258,"0","ENSG00000295475"
5.49955802776043e-247,1.49388310752284,0.168,0.077,4.95020717636744e-242,"0","CASP4LP.1"
0,1.48019441366686,0.267,0.11,0,"0","C1orf21"
2.99613817325385e-212,1.47118013557527,0.198,0.106,2.69685393112753e-207,"0","IFNG-AS1"
2.73997000607977e-290,1.4600796092275,0.193,0.089,2.46627440217246e-285,"0","EEIG1"
3.51386716945632e-207,1.43052286783059,0.168,0.084,3.16286697789933e-202,"0","FHIP2A"
0,1.41399651791633,0.327,0.162,0,"0","FAM66A"
0,1.41362555831128,0.262,0.122,0,"0","CDC42EP3-AS1"
3.74708060739242e-118,1.36066655109676,0.104,0.052,3.37278472551999e-113,"0","ENSG00000309856"
2.98700088394574e-255,1.35258507111773,0.193,0.093,2.6886293656484e-250,"0","LINC00869.1"
1.26134165742595e-204,1.34832517388108,0.148,0.068,1.13534623926567e-199,"0","ENSG00000270240"
1.39974897998202e-289,1.32325305755131,0.238,0.12,1.25992805437162e-284,"0","EPHA4"
1.76516929579022e-171,1.32026611152485,0.154,0.079,1.58884653483373e-166,"0","CARINH"
5.75100687933389e-105,1.30910691187588,0.104,0.054,5.17653880215723e-100,"0","ZBTB47-AS1"
0,1.30842933741984,0.273,0.131,0,"0","KLRG1"
9.29892091245205e-103,1.30302407141364,0.111,0.06,8.37005170250721e-98,"0","ENSG00000309168"
3.5555240248848e-180,1.29298416822924,0.158,0.08,3.20036273003906e-175,"0","PEBP1P3"
5.12323734216827e-180,1.28663376519125,0.156,0.079,4.61147716405908e-175,"0","LINC01145.1"
0,1.27445748318549,0.46,0.288,0,"0","CMC1"
