"resolution","cluster","n_cells","n_orig.ident","n_dataset","n_patient","largest_orig.ident_fraction","largest_dataset_fraction"
0.4,"7",7442,44,5,NA,0.124563289438323,0.584385917764042
0.4,"0",17942,44,5,NA,0.201092408873035,0.648534165644856
0.4,"3",11727,45,5,NA,0.0730792188965635,0.47130553423723
0.4,"9",5107,57,5,NA,0.0847855884080674,0.361073037008028
0.4,"1",17364,43,4,NA,0.0919718958765261,0.488078783690394
0.4,"5",10540,57,5,NA,0.0952561669829222,0.392599620493359
0.4,"8",6054,57,5,NA,0.0840766435414602,0.41212421539478
0.4,"6",9221,21,4,NA,0.178722481292701,0.996529660557423
0.4,"2",15326,15,2,NA,0.154247683674801,0.999478011222759
0.4,"4",10639,14,2,NA,0.206410376915124,0.999812012407181
0.4,"10",3483,13,1,NA,0.238013207005455,1
1.2,"12",4777,43,5,NA,0.14988486497802,0.606866234038099
1.2,"3",9169,44,5,NA,0.150834333078853,0.565601483258807
1.2,"0",11053,45,5,NA,0.0756355740522935,0.467113000995205
1.2,"11",5173,57,5,NA,0.0844770925961724,0.360912429924609
1.2,"13",4477,42,4,NA,0.085995085995086,0.466607102970739
1.2,"8",8238,41,4,NA,0.100509832483613,0.588128186453023
1.2,"2",9231,57,5,NA,0.100639150687899,0.40905644025566
1.2,"10",5531,42,4,NA,0.110287470620141,0.377689387090942
1.2,"7",8355,40,4,NA,0.259485338120886,0.731418312387792
1.2,"9",5992,57,5,NA,0.0837783711615487,0.412716955941255
1.2,"15",2857,40,4,NA,0.140357017850893,0.557577878893945
1.2,"16",1262,45,5,NA,0.0665610142630745,0.349445324881141
1.2,"1",9253,22,4,NA,0.178536690802983,0.996217442991462
1.2,"5",8587,15,2,NA,0.152789099802026,0.999301269360661
1.2,"6",8365,14,2,NA,0.188643156007173,0.999521817095039
1.2,"4",9061,13,1,NA,0.192914689327889,1
1.2,"14",3464,13,1,NA,0.236143187066975,1
