"resolution","cluster","n_cells","fraction"
0.4,"0",17942,0.156227959423571
0.4,"1",17364,0.151195089033045
0.4,"2",15326,0.133449431842919
0.4,"3",11727,0.102111541643084
0.4,"4",10639,0.0926379032609169
0.4,"5",10540,0.0917758718272454
0.4,"6",9221,0.0802908267665114
0.4,"7",7442,0.0648003831250816
0.4,"8",6054,0.0527145282772432
0.4,"9",5107,0.0444686316339414
0.4,"10",3483,0.0303278331664417
1.2,"0",11053,0.096242761983543
1.2,"1",9253,0.0805694631895163
1.2,"2",9231,0.0803779006487004
1.2,"3",9169,0.0798380425791284
1.2,"4",9061,0.0788976446514868
1.2,"5",8587,0.0747703426357264
1.2,"6",8365,0.0728373024511298
1.2,"7",8355,0.0727502285689407
1.2,"8",8238,0.071731464147329
1.2,"9",5992,0.0521746702076712
1.2,"10",5531,0.0481605642387566
1.2,"11",5173,0.045043319256389
1.2,"12",4777,0.0415951935217032
1.2,"13",4477,0.038982977056032
1.2,"14",3464,0.0301623927902826
1.2,"15",2857,0.024877008141408
1.2,"16",1262,0.0109887239322565
