"round3_cluster","round4_cluster","n_cells","fraction_of_round3_cluster"
"0","0",1981,0.931358721203573
"1","0",1504,0.786199686356508
"4","0",163,0.105706874189364
"5","0",125,0.0853242320819113
"6","0",50,0.0456204379562044
"7","0",680,0.748898678414097
"8","0",65,0.0742857142857143
"9","0",1,0.00129032258064516
"16","0",1,0.00214592274678112
"17","0",2,0.00716845878136201
"0","1",122,0.0573577809120827
"1","1",375,0.196027182435964
"4","1",1009,0.654345006485084
"5","1",1277,0.871672354948805
"6","1",45,0.0410583941605839
"7","1",119,0.131057268722467
"8","1",94,0.107428571428571
"9","1",758,0.978064516129032
"10","1",2,0.0026281208935611
"12","1",63,0.0960365853658537
"13","1",5,0.00884955752212389
"14","1",164,0.324110671936759
"15","1",20,0.0411522633744856
"16","1",25,0.0536480686695279
"17","1",1,0.003584229390681
"20","1",1,0.00645161290322581
"2","2",1865,0.975418410041841
"3","2",4,0.00211752249867655
"5","2",3,0.00204778156996587
"6","2",9,0.00821167883211679
"8","2",1,0.00114285714285714
"9","2",2,0.00258064516129032
"10","2",18,0.0236530880420499
"12","2",101,0.153963414634146
"13","2",4,0.00707964601769911
"14","2",303,0.598814229249012
"15","2",37,0.0761316872427984
"16","2",15,0.0321888412017167
"17","2",6,0.021505376344086
"20","2",70,0.451612903225806
"3","3",1795,0.950238221281101
"6","3",4,0.00364963503649635
"8","3",3,0.00342857142857143
"10","3",11,0.0144546649145861
"12","3",1,0.00152439024390244
"14","3",1,0.00197628458498024
"15","3",2,0.00411522633744856
"16","3",1,0.00214592274678112
"17","3",8,0.028673835125448
"18","3",27,0.1125
"0","4",10,0.00470145745181006
"2","4",1,0.000523012552301255
"3","4",76,0.0402329274748544
"4","4",10,0.00648508430609598
"5","4",33,0.0225255972696246
"6","4",969,0.884124087591241
"7","4",105,0.115638766519824
"8","4",6,0.00685714285714286
"9","4",4,0.00516129032258065
"10","4",22,0.0289093298291721
"12","4",4,0.00609756097560976
"13","4",1,0.00176991150442478
"14","4",7,0.0138339920948617
"15","4",5,0.0102880658436214
"16","4",40,0.0858369098712446
"17","4",237,0.849462365591398
"18","4",5,0.0208333333333333
"20","4",27,0.174193548387097
"2","5",23,0.0120292887029289
"3","5",11,0.00582318687136051
"4","5",2,0.0012970168612192
"6","5",6,0.00547445255474453
"9","5",5,0.00645161290322581
"10","5",699,0.918528252299606
"12","5",480,0.731707317073171
"13","5",36,0.063716814159292
"14","5",4,0.00790513833992095
"15","5",2,0.00411522633744856
"16","5",45,0.0965665236051502
"17","5",10,0.03584229390681
"20","5",53,0.341935483870968
"0","6",2,0.000940291490362012
"2","6",22,0.0115062761506276
"3","6",3,0.00158814187400741
"5","6",1,0.00068259385665529
"6","6",8,0.0072992700729927
"7","6",1,0.00110132158590308
"8","6",2,0.00228571428571429
"10","6",7,0.00919842312746386
"12","6",7,0.0106707317073171
"13","6",519,0.91858407079646
"14","6",24,0.0474308300395257
"15","6",14,0.0288065843621399
"16","6",339,0.727467811158798
"17","6",11,0.039426523297491
"18","6",1,0.00416666666666667
"20","6",2,0.0129032258064516
"0","7",1,0.000470145745181006
"1","7",17,0.00888656560376372
"2","7",1,0.000523012552301255
"4","7",328,0.212710765239948
"5","7",21,0.0143344709897611
"6","7",2,0.00182481751824818
"7","7",1,0.00110132158590308
"8","7",3,0.00342857142857143
"9","7",4,0.00516129032258065
"14","7",3,0.00592885375494071
"15","7",404,0.831275720164609
"20","7",2,0.0129032258064516
"0","8",11,0.00517160319699107
"1","8",17,0.00888656560376372
"4","8",30,0.0194552529182879
"5","8",5,0.00341296928327645
"6","8",3,0.00273722627737226
"7","8",2,0.00220264317180617
"8","8",701,0.801142857142857
"9","8",1,0.00129032258064516
"15","8",2,0.00411522633744856
"10","9",2,0.0026281208935611
"17","9",4,0.014336917562724
"18","9",207,0.8625
