"round3_cluster","round4_cluster","n_cells","fraction_of_round3_cluster"
"0","0",720,0.95364238410596
"2","0",1,0.00162337662337662
"5","0",77,0.17741935483871
"6","0",244,0.750769230769231
"7","0",1,0.00427350427350427
"8","0",23,0.105990783410138
"11","0",10,0.0813008130081301
"12","0",43,0.405660377358491
"14","0",4,0.0689655172413793
"1","1",555,0.75
"2","1",14,0.0227272727272727
"3","1",38,0.0631229235880399
"7","1",12,0.0512820512820513
"8","1",21,0.0967741935483871
"9","1",159,0.850267379679144
"10","1",6,0.0324324324324324
"11","1",1,0.00813008130081301
"13","2",1,0.0108695652173913
"14","2",2,0.0344827586206897
"1","3",85,0.114864864864865
"2","3",29,0.0470779220779221
"3","3",531,0.882059800664452
"9","3",10,0.053475935828877
"10","3",5,0.027027027027027
"1","4",21,0.0283783783783784
"2","4",514,0.834415584415584
"3","4",26,0.0431893687707641
"5","4",1,0.00230414746543779
"6","4",1,0.00307692307692308
"7","4",1,0.00427350427350427
"10","4",3,0.0162162162162162
"0","5",19,0.0251655629139073
"2","5",2,0.00324675324675325
"5","5",4,0.00921658986175115
"6","5",8,0.0246153846153846
"7","5",33,0.141025641025641
"8","5",11,0.0506912442396313
"10","5",3,0.0162162162162162
"11","5",98,0.796747967479675
"12","5",42,0.39622641509434
"14","5",6,0.103448275862069
"0","6",3,0.00397350993377483
"5","6",341,0.785714285714286
"7","6",2,0.00854700854700855
"10","6",22,0.118918918918919
"11","6",3,0.024390243902439
"1","7",69,0.0932432432432432
"2","7",49,0.0795454545454545
"3","7",1,0.00166112956810631
"5","7",6,0.0138248847926267
"7","7",153,0.653846153846154
"10","7",8,0.0432432432432432
"14","7",1,0.0172413793103448
"1","8",7,0.00945945945945946
"2","8",6,0.00974025974025974
"3","8",6,0.00996677740863787
"7","8",28,0.11965811965812
"10","8",138,0.745945945945946
"0","9",13,0.0172185430463576
"1","9",1,0.00135135135135135
"5","9",3,0.00691244239631336
"6","9",58,0.178461538461538
"7","9",2,0.00854700854700855
"8","9",63,0.290322580645161
"11","9",11,0.0894308943089431
"12","9",21,0.19811320754717
"14","9",1,0.0172413793103448
"1","10",2,0.0027027027027027
"6","10",12,0.0369230769230769
"8","10",99,0.456221198156682
"9","10",18,0.0962566844919786
"14","10",1,0.0172413793103448
"7","11",2,0.00854700854700855
"13","11",91,0.989130434782609
"2","12",1,0.00162337662337662
"5","12",2,0.00460829493087558
"6","12",2,0.00615384615384615
"14","12",43,0.741379310344828
