"round3_cluster","round4_cluster","n_cells","fraction_of_round3_cluster"
"0","0",233,0.0208743952696649
"1","0",19,0.00173373482982024
"2","0",464,0.0477268051841185
"6","0",8377,0.924307624406929
"7","0",8409,0.952429493713897
"8","0",1,0.00011568718186025
"10","0",111,0.017113783533765
"11","0",39,0.00641975308641975
"12","0",6,0.0010185028008827
"13","0",4,0.0008302200083022
"15","0",50,0.0171998624011008
"17","0",229,0.449019607843137
"0","1",169,0.0151406557964522
"1","1",179,0.016333607080938
"2","1",8718,0.896729068092985
"6","1",24,0.00264812975835816
"7","1",169,0.0191414656246461
"9","1",4,0.000505880865056279
"10","1",52,0.0080172679617638
"11","1",2185,0.359670781893004
"12","1",5633,0.956204379562044
"13","1",7,0.00145288501452885
"15","1",25,0.0085999312005504
"17","1",199,0.390196078431373
"0","2",8,0.000716717434151586
"3","2",7424,0.791555602942744
"4","2",24,0.00260162601626016
"8","2",22,0.0025451180009255
"9","2",7667,0.969647148096623
"10","2",16,0.00246685168054271
"11","2",3,0.000493827160493827
"13","2",131,0.0271897052718971
"14","2",31,0.0094859241126071
"0","3",10433,0.934689123812937
"1","3",4,0.000364996806277945
"2","3",405,0.0416580950421724
"3","3",1,0.000106621174965348
"6","3",523,0.0577071609842216
"7","3",201,0.0227658851512063
"10","3",15,0.00231267345050879
"11","3",20,0.00329218106995885
"12","3",12,0.00203700560176541
"13","3",39,0.00809464508094645
"15","3",1,0.000343997248022016
"17","3",73,0.143137254901961
"0","4",1,8.95896792689482e-05
"3","4",1929,0.205672246508157
"4","4",22,0.00238482384823848
"6","4",9,0.00099304865938431
"8","4",8554,0.989588153632577
"9","4",9,0.00113823194637663
"10","4",75,0.0115633672525439
"13","4",10,0.0020755500207555
"14","4",27,0.00826193390452876
"15","4",2,0.000687994496044032
"17","4",1,0.00196078431372549
"0","5",5,0.000447948396344741
"1","5",10315,0.941235514189251
"2","5",6,0.000617156963587739
"4","5",97,0.0105149051490515
"6","5",2,0.00022067747986318
"7","5",4,0.000453052440820025
"10","5",2,0.000308356460067838
"11","5",17,0.00279835390946502
"12","5",71,0.0120522831437786
"13","5",1,0.00020755500207555
"15","5",18,0.00619195046439629
"17","5",2,0.00392156862745098
"1","6",74,0.00675244091614198
"3","6",3,0.000319863524896044
"4","6",9061,0.982222222222222
"8","6",1,0.00011568718186025
"9","6",51,0.00644998102946756
"10","6",2,0.000308356460067838
"11","6",1,0.000164609053497942
"14","6",28,0.00856793145654835
"0","7",45,0.00403153556710267
"1","7",368,0.0335797061775709
"2","7",124,0.0127545772474799
"4","7",1,0.00010840108401084
"6","7",96,0.0105925190334326
"7","7",45,0.00509683995922528
"9","7",2,0.00025294043252814
"10","7",5,0.000770891150169596
"11","7",3806,0.626502057613169
"12","7",169,0.0286878288915295
"15","7",2779,0.955968352253182
"17","7",2,0.00392156862745098
"0","8",1,8.95896792689482e-05
"2","8",1,0.00010285949393129
"3","8",3,0.000319863524896044
"4","8",1,0.00010840108401084
"6","8",2,0.00022067747986318
"8","8",5,0.000578435909301249
"10","8",5990,0.923527597903176
"13","8",50,0.0103777501037775
"15","8",1,0.000343997248022016
"0","9",267,0.0239204443648092
"2","9",4,0.000411437975725159
"3","9",5,0.000533105874826741
"6","9",30,0.0033101621979477
"7","9",1,0.000113263110205006
"10","9",218,0.0336108541473944
"11","9",2,0.000329218106995885
"13","9",4576,0.949771689497717
"17","9",4,0.00784313725490196
"3","10",14,0.00149269644951487
"4","10",19,0.00205962059620596
"8","10",61,0.00705691809347524
"9","10",174,0.0220058176299481
"11","10",2,0.000329218106995885
"14","10",3182,0.973684210526316
"15","10",31,0.0106639146886825
