"cluster","n_cells","top10_markers","proposed_annotation","confidence","notes"
"0",2341,"MMP3;PCSK2;STC1;NRG1;AREG;FAM135B;NPFFR2;GALNTL6;TACR3;RBFOX1","","",""
"1",2046,"KCNB2;DUOXA2;PRG4;ADGRG2;KCNAB1;WT1;CD70;WNT10B;LINC02511;DUOX2","","",""
"2",1803,"KRT24;BDKRB1;ABRAXAS1P1;PI16;HAS1;PCOLCE2;PTX3;DACT2;GNPNAT1;FAM180A","","",""
"3",1795,"CCL21;CFHR1;CNR1;DGKG;CCL19;ECRG4;FHL5;LINC00989;ABLIM2;HS6ST3","","",""
"4",1532,"FBXO38-DT;HAPLN1;CCL13;CSF3;SPINK13;VMO1;MARCOL;CSMD1;CEMIP;TFPI2","","",""
"5",1341,"THBS4;SCN7A;KCNN3;KCNIP1;SNCA;SHISA3;COMP;DPT;C7;CHRDL2","","",""
"6",1159,"IGHA2;IGLC2;IGHG1;S100A9;CD24;HLA-DPA1;S100P;TACSTD2;IGHG3;IGHG4","","",""
"7",1055,"APBB1IP;NPR3;COL4A3;LINC01239;ITGB8;STK32B;COL4A4;GNA14;CLCN5;ABCB5","","",""
"8",976,"SERPINA3;AL139393.3;AC018926.2;MARCH3;AP000763.3;SLC66A1L;AC091271.1;AC007262.2;METTL7A;AC108734.4","","",""
"9",808,"THSD8;RDUR;TRIM72;FALEC;HIPK4;TAS1R1;PPM1N;PRKCG;TEX14;SLC2A14","","",""
"10",803,"CRABP1;GDF10;RMDN2-AS1;APOD;CYP19A1;TSPAN8;BMPR1B;NGFR;CNTFR;SHOX2","","",""
"11",780,"IGFL2;COL10A1;COL11A1;C5orf46;MMP11;PLPP4;DKK2;LINC02930;LINC01429;CDH2","","",""
"12",700,"AL365295.1;AC087564.1;KIAA1211;AL139383.1;AF165147.1;AL356124.1;FAM155A;LINC00894;ADARB2;AC004160.1","","",""
"13",687,"TRAC;CCN5;SERPIND1;IGFBP6;PI16;PCOLCE2;MYOC;CCDC51;SGCG;C1QTNF3","","",""
"14",513,"IQSEC3-AS1;FOXS1;NDUFA4L2;LYPD1;S1PR5;COX4I2;OR51E1;HIGD1B;RGS5;IL17B","","",""
"15",241,"IGLC3;MZB1;IGKC;IGHA1;JCHAIN;IGLC2;IGHG1;IGHGP;ST6GAL1;RGS1","","",""
"16",239,"PIMREG;DEPDC1;IQGAP3;HJURP;RRM2;MKI67;UBE2C;KNL1;SKA1;BIRC5","","",""
"17",146,"CST1;SLC9A3R2;COL10A1;KRT6A;MRPS36;PLPP4;A1BG;C4orf48;KARS;C9orf16","","",""
"18",122,"ADAM7-AS1;AC092691.1;CSMD3;ADAM28;GRM7;BRINP3;CHRM2;TOX3;FAM102B;FGFR2","","",""
