"cluster","n_cells","top10_markers","proposed_annotation","confidence","notes"
"0",1134,"LINC02147;LPL;HSD11B2;CA4;FJX1;ARFGEF1-DT;CAMK1G;TMEM273;LINC01482;CPA6","","",""
"1",806,"MDGA2;FALEC;OSTN;LINGO3;BAALC;CACNA2D2;BEX1;RDUR;TULP2;ANO3","","",""
"2",695,"CXCL14;WNT2;PDGFRA;WNT4;PDPN;COL6A5;TRPA1;RBP4;HTR2B;HHIP-AS1","","",""
"3",660,"LGR5;SEPTIN7P13.1;AURKA;PPP1R1A;NCAPG2;LINC01348;ENTPD3;ZNF141;HAS1;MT1A","","",""
"4",567,"CCN3;FIBIN;MEDAG;CRLF1;C12orf75;CLU;PGAM2;SCX;ITIH3;LINC01936","","",""
"5",389,"IGHG1;CYFIP2;RASGEF1B;BCOR;GFUS;AQP1;ASPN;IGHA1;TALAM1;KRT18","","",""
"6",381,"AL645608.7;KIAA1211L;AC100803.4;AC025280.3;AC012409.2;AL353586.1;AC019197.1;STX17-AS1;AC017002.5;LINC01197","","",""
"7",297,"MUSTN1;RERGL;H1-2;CASQ2;DES;SUSD5;PRPH;EDIL3-DT;SBSPON;KCNAB1","","",""
"8",186,"SLC6A17;ERG;LINC01115.1;ELOVL7;PPARGC1A;TTC23-AS1;PRDM16;KCNMA1;LINC00511;BCR","","",""
"9",176,"CCL19;CCL21;CNR1;PTGER3;FAM78B;FGF14;RAMP3;COLEC11;NPTX2;WNT6","","",""
"10",132,"CECR2;PTGER3;DRC12;LIMASI;CXCL3;SMTNL2;FGF14;HS6ST3;RAB44;NPTX2","","",""
"11",102,"ASB5;CHRM3;CHRM3-AS2;RBFOX3;PCA3;TNNT2;COL19A1;FOXP2;EPHA6;CHRM2","","",""
"12",53,"PRSS35;MEGF6;DUXAP10.1;PAPPA;LINC01592;FNDC1;GPC3;CRACDL;LAMP5;CYFIP2","","",""
