"cluster","n_cells","top10_markers","proposed_annotation","confidence","notes"
"0",17942,"PELO-AS1;LINC02937;CCL3-AS1;ATP8A1-DT;ITGA9;TTC24;KLRK1-AS1;JUN-DT;KIR2DL4;NHS","","",""
"1",17364,"ABTB3;CFAP210;MAGI3;MIR23AHG;TAF4B;RASGRF2;PELI2;SEMA4A;NR3C2;LNCRNA-IUR","","",""
"2",15326,"AC006369.1;AL365361.1;P2RY8;BTBD11;AC016074.2;AC020916.1;ADAMTSL4-AS1;AL499604.1;AC068587.4;MPP6","","",""
"3",11727,"LINC00987;GZMK;CCL3L3;GPR84-AS1;PZP;AGAP1;C2CD5-AS1;CASP4LP.1;EEIG1;C1orf21","","",""
"4",10639,"AC022126.1;AL355076.2;AC243829.4;AL138720.1;AL096794.1;CCL3L1;AC022075.1;AC243829.1;AL133405.2;CLECL1","","",""
"5",10540,"IL1R1-AS1;SOCAR;ATP13A3-DT;GNG8;HERC2P3;IL1R2;MITA1;LINC00589;LINC01727;FOXP3","","",""
"6",9221,"AC104850.2;LINC00884;AC017002.3;AC093865.1;AC012368.1;AL136456.1;AC013652.1;AC133644.2;AC083837.1;FANK1","","",""
"7",7442,"IL17A;COL5A3;IL26;PTPN13;NTRK2;LINC03062;RNF144B;PDE7B-AS1;IL21;HLF","","",""
"8",6054,"ADGRG3;CCNJL;B3GNT7;RASSF8;LDB2;LINC00996;SH2D1B;PPP1R9A;GAB1;FCER1G","","",""
"9",5107,"FGFBP2;CX3CR1;S1PR5;MYOM2;FCGR3A;PTGDS;LINGO2;KLRF1;BNC2;SLCO4C1","","",""
"10",3483,"AC053545.1;AL138828.1;IGFL2;AL133405.2;HSD11B1;AL360178.1;IL21;AL359834.1;AL606807.1;LINC00271","","",""
