"cluster","n_cells","top10_markers","proposed_annotation","confidence","notes"
"0",11053,"LINC00987;GZMK;GPR84-AS1;CCL3L3;PZP;AGAP1;C2CD5-AS1;CASP4LP.1;C1orf21;IFNG-AS1","","",""
"1",9253,"AC104850.2;LINC00884;AC017002.3;AC093865.1;AC012368.1;AL136456.1;AC013652.1;AC133644.2;AC083837.1;FANK1","","",""
"2",9231,"IL1R1-AS1;SOCAR;ATP13A3-DT;GNG8;IL1R2;LINC00589;MITA1;HERC2P3;TET2-AS1;LINC00519","","",""
"3",9169,"PELO-AS1;CCL3-AS1;LINC02937;ZNF683;KIR2DL4;KLRC4;ITGA1;LINC01871;CARS1;DPF3","","",""
"4",9061,"AC022126.1;AL355076.2;AC243829.4;AL138720.1;AL096794.1;AL133405.2;AC022075.1;AC024028.1;AL122035.1;LINC01358","","",""
"5",8587,"BTBD11;GRASP;AC020911.2;AC119396.1;AC139720.1;KIAA1324L;AL121935.1;CCR6;AL365361.1;FMN1","","",""
"6",8365,"WDR63;AC243829.1;CCL3L1;AL137025.1;AC015849.1;AC104078.2;GZMK;AC006369.1;AF165147.1;A2M-AS1","","",""
"7",8355,"ITGA9;SHC4;LINC02937;ATP8A1-DT;LINC00484;PELO-AS1;BARX2;PIP5K1B;CCL3-AS1;MS4A6A","","",""
"8",8238,"NAMA;LINGO3;JAM3;CFAP210;SEMA4A;MIR23AHG;LINC00910;GP6-AS1;ZSWIM4;LINC02964","","",""
"9",5992,"ADGRG3;CCNJL;RASSF8;B3GNT7;LDB2;LINC00996;PPP1R9A;SH2D1B;GAB1;FCER1G","","",""
"10",5531,"LNCRNA-IUR;ABTB3;TAF4B;LINC00402;SCML1;FILIP1L;CCR7;FAAH2;GCNT4;ELAPOR2","","",""
"11",5173,"FGFBP2;CX3CR1;S1PR5;MYOM2;FCGR3A;PTGDS;LINGO2;KLRF1;BNC2;SLCO4C1","","",""
"12",4777,"IL17A;COL5A3;IL26;RNF144B;CA10;PTPN13;HLF;IL23R;NTRK2;LINC03062","","",""
"13",4477,"SLC4A10;NTN4;IL4I1;ABTB3;SPON1;PCSK5;SVIL-AS1.1;SVIL;RASGRF2;ELAPOR2","","",""
"14",3464,"AC053545.1;AL138828.1;IGFL2;AL133405.2;HSD11B1;AL360178.1;IL21;AL359834.1;AL606807.1;LINC00271","","",""
"15",2857,"IGFL2;PDE7B-AS1;SORD2P.1;GNG4;KSR2;LHFPL6;IL21;LINC03062;CPM;PTPN13","","",""
"16",1262,"LINC01727;SNED1;HERC2P3;RTKN2;FOXP3;TAFA2;FANK1;LNCRNA-IUR;PIK3IP1-DT;CCR4","","",""
